movie_name,director,cast_name,country_name,subgenre_name
The Ape,William Nigh,"Boris Karloff, Maris Wrixon, Gene O'Donnell",United States,"
"
Before I Hang,Nick Grinde,"Boris Karloff, Evelyn Keyes, Bruce Bennett",United States,"
"
Black Friday,Arthur Lubin,"Boris Karloff, Bela Lugosi, Stanley Ridges,",United States,"
"
The Devil Bat,Jean Yarborough,Bela Lugosi,United States,"
"
Dr. Cyclops,Ernest B. Schoedsack,"Albert Dekker, Janice Logan, Thomas Coley",United States,"
"
Flash Gordon Conquers the Universe,"Ford I. Beebe, Ray Taylor","Harry C. Bradley, Larry ""Buster"" Crabbe, Shirley Deane",United States,"Serial film
"
The Invisible Man Returns,Joe May,"Cedric Hardwicke, Vincent Price, Nan Grey, John Sutton",United States,"
"
The Invisible Woman,Edward Sutherland,"Virginia Bruce, John Barrymore, John Howard, Charlie Ruggles",United States,"
"
Mysterious Doctor Satan,"Jon English, William Witney","Edwin Stanley, C. Montague Shaw",United States,"Serial film
"
Son of Ingagi,Richard Kahn,"Zack Williams, Laura Bowman, Spencer Williams",United States,"
"
Weltraumschiff 1 startet ...  (i.e. Spaceship I takes off),Anton Kutter,"Carl Wery, Fritz Reiff, Rolf Wernicke",Nazi Germany,"
"
The Devil Commands,Edward Dmytryk,"Boris Karloff, Richard Fiske, Amanda Duff, Anne Revere",United States,"
"
Dr. Jekyll and Mr. Hyde,Victor Fleming,"Spencer Tracy, Ingrid Bergman, Lana Turner, Donald Crisp",United States,"
"
Tainstvennyy ostrov (Mysterious Island),Eduard Penclin,"Alexej Krasnopolsky, Pavel Kiyansky, Nikolai Komissarov, Yuri Grammatikati, Andrey Andriyenko-Zemskov",Soviet Union,"adaptation of the 1874 novel by Jules Verne
"
Man Made Monster,George Waggner,"Lionel Atwill, Lon Chaney, Jr., Anne Nagel, Frank Albertson",United States,"
"
Monster and the Girl,Stuart Heisler,"Ellen Drew, Robert Paige, Paul Lukas",United States,"
"
Bowery at Midnight,Wallace W. Fox,"Bela Lugosi, John Archer",United States,"
"
The Corpse Vanishes,Wallace W. Fox,"Bela Lugosi, Luana Walters, Tristram Coffin, Elizabeth Russell",United States,"
"
Dr. Renault's Secret,Harry Lachman,"J. Carrol Naish, John Shepperd, Lynne Roberts",United States,"
"
Invisible Agent,Edwin L. Marin,"Ilona Massey, Jon Hall, Peter Lorre, Cedric Hardwicke",United States,"
"
The Mad Monster,Sam Newfield,"Johnny Downs, George Zucco, Anne Nagel, Reginald Barlow",United States,"
"
The Ape Man,William Beaudine,"Bela Lugosi, Wallace Ford, Louise Currie",United States,"
"
The Mad Ghoul,James Hogan,"David Bruce, Evelyn Ankers, George Zucco",United States,"
"
The Invisible Man's Revenge,Ford Beebe,"Jon Hall, John Carradine, Evelyn Ankers",United States,"
"
The Lady and the Monster,George Sherman,"Vera Ralston, Richard Arlen, Mary Nash, Sidney Blackmer",United States,"
"
The Monster Maker,Sam Newfield,"J. Carrol Naish, Ralph Morgan, Tala Birell",United States,"
"
Manhunt of Mystery Island,"Spencer Gordon Bennet, Yakima Canutt, Wallace A. Grissell","Linda Stirling, Harry Strang, Tom Steele",United States,"Serial film
"
The Man in Half Moon Street,Ralph Murphy,"Nils Asther, Helen Walker",United States,"
"
The Monster and the Ape,Howard Bretherton,"Robert Lowery, Ralph Morgan, George Macready",United States,"Serial film
"
The Purple Monster Strikes,"Spencer Gordon Bennet, Fred C. Brannon","Linda Stirling, Ken Terrell, Mary Moore",United States,"Serial film
"
Strange Holiday,Arch Oboler,"Griff Barnett, Claude Rains, Barbara Bates, Tommy Cook, Paul Hilton",United States,"[1][2]
"
The Crimson Ghost,"Fred C. Brannon, William Witney","Forrest Taylor, Dale Van Sickel, Linda Stirling, Charles Quigley",United States,"Serial film
"
The Flying Serpent,Sam Newfield,"George Zucco, Ralph Lewis, Hope Kramer",United States,"Mad scientist
"
The Mysterious Mr. M,"Lewis D. Collins, Vernon Keays","Richard Martin, Pamela Blake, Dennis Moore",United States,"Serial film
"
The Black Widow,"Spencer Gordon Bennet, Fred C. Brannon","Bruce Edwards, Virginia Lee, Carol Forman, Anthony Warde",United States,"Serial film
"
Brick Bradford,"Spencer Gordon Bennet, Thomas Carr","Kane Richmond, Rick Vallin",United States,"Serial film
"
Jack Armstrong,Wallace Fox,"John Hart, Pierre Watkin",United States,"Serial film
"
Chemistry and Love,Arthur Maria Rabenalt,"Hans Nielsen, Tilly Lauenstein, Ralph Lothar",East Germany,"Comedy
"
Counterblast,Paul L. Stein,"Mervyn Johns, Robert Beatty, Nova Pilbeam",United Kingdom,"[3][4]
"
Krakatit,Otakar Vávra,Karel Höger,Czechoslovakia,"
"
Unknown Island,Jack Bernhard,"Virginia Grey, Richard Denning, Barton MacLane",United States,"[5]
"
Bruce Gentry,"Spencer Gordon Bennet, Thomas Carr",Tom Neal,United States,"Serial film
"
King of the Rocket Men,Fred C. Brannon,"Tristram Coffin, Mae Clarke",United States,"Serial film
"
Mighty Joe Young,Ernest B. Schoedsack,"Terry Moore, Ben Johnson, Robert Armstrong",United States,"
"
The Perfect Woman,Bernard Knowles,"Patricia Roc, Stanley Holloway, Nigel Patrick",United Kingdom,"[6]
"
movie_name,director,cast_name,country_name,subgenre_name
Destination Moon,Irving Pichel,"Warner Anderson, John Archer, Tom Powers",United States,"[nb 1]
"
Flying Disc Man from Mars,Fred C. Brannon,"Kent Fowler, Gregory Gaye",United States,"Serial film
"
The Flying Saucer,Mikel Conrad,"Mikel Conrad, Pat Garrison, Hanz von Teuffen",United States,"
"
The Invisible Monster,Fred C. Brannon,"Stanley Price, Richard Webb, Aline Towne, Lane Bradford",United States,"Serial film
"
Prehistoric Women,Gregg G. Tallas,"Laurette Luez, Allan Nixon, Joan Shawlee",United States,"
"
Rocketship X-M,Kurt Neumann,"Lloyd Bridges, Osa Massen, John Emery",United States,"
"
Abbott and Costello Meet the Invisible Man,Charles Lamont,"Bud Abbott, Lou Costello, Nancy Guild",United States,"
"
Captain Video: Master of the Stratosphere,"Spencer Gordon Bennet, Wallace Grissell","Judd Holdren, Gene Roth",United States,"Serial film
"
The Day the Earth Stood Still,Robert Wise,"Michael Rennie, Patricia Neal, Hugh Marlowe, Sam Jaffe",United States,"[nb 2]
"
Five,Arch Oboler,"William Phipps, Susan Douglas, James Anderson",United States,"
"
Flight to Mars,Lesley Selander,"Marguerite Chapman, Cameron Mitchell, Arthur Franz",United States,"
"
I'll Never Forget You,Roy Ward Baker,"Tyrone Power, Ann Blyth, Michael Rennie",United Kingdom,"
"
Lost Continent,Sam Newfield,"Cesar Romero, Hillary Brooke, Chick Chandler",United States,"
"
Lost Planet Airmen,Fred C. Brannon,"Tristram Coffin, Mae Clarke, I. Stanford Jolley",United States,"[nb 3]
"
The Man from Planet X,Edgar G. Ulmer,"Robert Clarke, Margaret Field, Raymond Bond",United States,"
"
The Man in the White Suit,Alexander Mackendrick,"Alec Guinness, Joan Greenwood, Cecil Parker, Michael Gough, Ernest Thesiger",United Kingdom,"
"
Mysterious Island,Spencer Gordon Bennet,"Richard Crane, Marshall Reed, Karen Randle, Ralph Hodges",United States,"Serial film
"
Superman and the Mole Men,Lee Sholem,"George Reeves, Phyllis Coates, Jeff Corey",United States,"
"
The Thing from Another World,Christian Nyby,"Margaret Sheridan, Kenneth Tobey, Robert Cornthwaite",United States,"
"
Two Lost Worlds,"Norman Dawn, Norman Kennedy","James Arness, Laura Elliott",United States,"
"
Unknown World,Terrell O. Morse,"Bruce Kellogg, Marilyn Nash, Jim Bannon, Otto Waldis",United States,"
"
When Worlds Collide,Rudolph Maté,"Richard Derr, Barbara Rush, Peter Hansen, John Hoyt",United States,"
"
Alraune,Arthur Maria Rabenalt,"Hildegard Knef, Erich von Stroheim",West Germany,"
"
"April 1, 2000",Wolfgang Liebeneiner,"Hilde Krahl, Joseph Meinrad, Curd Jürgens",Austria,"[nb 4]
"
Captive Women,Stuart Gilmore,"Robert Clarke, Margaret Field, Gloria Saunders",United States,"[nb 5]
"
Invasion USA,Alfred E Green,,United States,"
"
The Jungle,William A. Berke,"Rod Cameron, Cesar Romero, Marie Windsor",United States,"[2]
"
Radar Men from the Moon,Fred C. Brannon,"George D. Wallace, Aline Towne, Roy Barcroft",United States,"Serial film
"
Red Planet Mars,Harry Horner,"Peter Graves, Andrea King, Orley Lindgren",United States,"
"
Untamed Women,"Merle W. Connell, James R. Connell","Mikel Conrad, Doris Merrick, Richard Monahan",United States,"
"
Zombies of the Stratosphere,Fred C. Brannon,Judd Holdren,United States,"Serial film
"
Abbott and Costello Go to Mars,Charles Lamont,"Bud Abbott, Lou Costello, Mari Blanchard",United States,"
"
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,Charles Lamont,"Bud Abbott, Lou Costello, Boris Karloff",United States,"
"
"The Beast from 20,000 Fathoms",Eugène Lourié,"Paul Christian, Paula Raymond, Cecil Kellaway",United States,"
"
Cat-Women of the Moon,Arthur D. Hilton,"Sonny Tufts, Victor Jory, Marie Windsor, Carol Brewster",United States,"[nb 6]
"
Commando Cody: Sky Marshal of the Universe,"Harry Keller, Franklin Adreon, Fred C. Brannon","Judd Holdren, Aline Towne",United States,"Serial film
"
Donovan's Brain,Felix E. Feist,"Lew Ayres, Gene Evans, Nancy Davis",United States,"
"
Flight to the Moon,Brumberg sisters,"Vera Bendina (voice), Yevgeniya Mores (voice), Valentina Sperantova (voice)",Soviet Union,"Animated short film. Russian title: Полёт на Луну, tr. Polyot na Lunu[3][4][5][6]
"
Four Sided Triangle,Terence Fisher,"Barbara Payton, John Van Eyssen, Percy Marmont",United Kingdom,"
"
Invaders from Mars,William Cameron Menzies,"Jimmy Hunt, Arthur Franz, Helena Carter",United States,"
"
It Came from Outer Space,Jack Arnold,"Richard Carlson, Barbara Rush, Charles Drake",United States,"
"
The Lost Planet,Spencer Gordon Bennet,"Judd Holdren, Vivian Mason, Michael Fox",United States,"Serial film
"
The Magnetic Monster,Curt Siodmak,"Richard Carlson, King Donovan, Harry Ellerbe",United States,"
"
Mesa of Lost Women,"Herbert Tevos, Ron Ormond","Jackie Coogan, Richard Travis, Allan Nixon, Mary Hill",United States,"
"
The Neanderthal Man,Ewald Andre Dupont,"Robert Shayne, Doris Merrick, Richard Crane",United States,"
"
Phantom from Space,W. Lee Wilder,"Ted Cooper, Rudolph Anders, Noreen Nash",United States,"
"
Port Sinister,Harold Daniels,"James Warren, Lynne Roberts, Paul Cavanagh",United States,"[nb 7]
"
Project Moonbase,Richard Talmadge,"Donna Martell, Hayden Rorke, Ross Ford",United States,"
"
Robot Monster,Phil Tucker,"George Nader, Claudia Barrett, Selena Royle",United States,"[nb 8]
"
Spaceways,Terence Fisher,"Howard Duff, Eva Bartok, Alan Wheatley",United KingdomUnited States,"
"
The Twonky,Arch Oboler,"Hans Conried, Billy Lynn, Gloria Blondell, Janet Warren",United States,"[7]
"
The War of the Worlds,Byron Haskin,"Gene Barry, Ann Robinson, Les Tremayne, Lewis Martin",United States,"[nb 9]
"
"20,000 Leagues Under the Sea",Richard Fleischer,"Kirk Douglas, James Mason, Paul Lukas",United States,"[nb 10]
"
Crash of Moons,Hollingsworth Morse,"Richard Crane, Sally Mansfield, Robert Lyden, Scotty Beckett, Patsy Parsons",United States,"Television film [nb 11]
"
Creature from the Black Lagoon,Jack Arnold,"Richard Carlson, Julie Adams, Richard Denning, Antonio Moreno",United States,"
"
Devil Girl from Mars,David MacDonald,"Patricia Laffan, Hugh McDermott, Adrienne Corri",United Kingdom,"
"
Godzilla,Ishirō Honda,"Akira Takarada, Momoko Kōchi, Takashi Shimura",Japan,"
"
Gog,Ivan Tors,"Richard Egan, Constance Dowling, Herbert Marshall",United States,"
"
Killers from Space,W. Lee Wilder,Peter Graves,United States,"
"
Monster from The Ocean Floor,Wyott Ordung,"Anne Kimball, Stuart Wade, Dick Pinner",United States,"
"
Riders to the Stars,Richard Carlson,"William Lundigan, Herbert Marshall",United States,"
"
Snow Creature,W. Lee Wilder,William Phipps,United States,"
"
Stranger From Venus,Burt Balaban,"Patricia Neal, Helmut Dantine, Derek Bond",United States,"[8]
"
Target Earth,Sherman A. Rose,"Richard Denning, Kathleen Crowley, Virginia Grey",United States,"
"
Them!,Gordon Douglas,"James Whitmore, Edmund Gwenn, Joan Weldon, James Arness",United States,"
"
Tobor the Great,Lee Sholem,"Charles Drake, Karin Booth, Billy Chapin",United States,"
"
The Beast with a Million Eyes,David Kramarsky,"Paul Birch, Lorna Thayer, Dona Cole, Dick Sargent",United States,"[9][10][nb 12]
"
Bride of the Monster,"Edward D. Wood, Jr.","Bela Lugosi, Tor Johnson, Tony McCoy, Loretta King",United States,"
"
Creature with the Atom Brain,Edward L. Cahn,"Richard Denning, Angela Greene, S. John Launer",United States,"[11]
"
Conquest of Space,Byron Haskin,"Walter Brooke, Eric Fleming, Mickey Shaughnessy",United States,"
"
"The Phantom from 10,000 Leagues",Dan Milner,"Kent Taylor, Cathy Downs, Michael Whalen",United States,"
"
Day the World Ended,Roger Corman,"Richard Denning, Lori Nelson, Paul Birch, Touch Connors",United States,"
"
"Godzilla Raids Again (a.k.a. Gigantis, the Fire Monster)",Motoyoshi Oda,"Hiroshi Koizumi, Minoru Chiaki",Japan,"
"
It Came from Beneath the Sea,Robert Gordon,"Kenneth Tobey, Faith Domergue, Donald Curtis",United States,"
"
King Dinosaur,Bert I. Gordon,"Douglas Henderson, Patti Gallagher",United States,"[12][13]
"
Monster Snowman (a.k.a. Half Human),Ishirō Honda,"Akira Takarada, Akemi Negishi",Japan,"
"
The Quatermass Xperiment,Val Guest,"Brian Donlevy, Jack Warner, Richard Wordsworth, Margia Dean",United Kingdom,"[nb 13]
"
Revenge of the Creature,Jack Arnold,"John Agar, Lori Nelson, John Bromfield, Nestor Paiva",United States,"
"
Tarantula,Jack Arnold,"John Agar, Mara Corday, Leo G. Carroll, Nestor Paiva",United States,"
"
This Island Earth,"Jack Arnold, Joseph Newman","Jeff Morrow, Faith Domergue, Rex Reason",United States,"
"
1984,Michael Anderson,"Edmond O'Brien, Jan Sterling, Michael Redgrave, Donald Pleasence",United Kingdom,"
"
The Beast of Hollow Mountain,"Edward Nassour, Ismael Rodríguez","Guy Madison, Patricia Medina, Carlos Rivas",United States,"
"
The Black Sleep,Reginald Le Borg,"Basil Rathbone, Akim Tamiroff, Herbert Rudley, Patricia Blake, Lon Chaney, Jr., John Carradine, Bela Lugosi, Tor Johnson",United States,"
"
The Creature Walks Among Us,John Sherwood,"Jeff Morrow, Rex Reason, Leigh Snowden",United States,"[14]
"
Earth vs. the Flying Saucers,Fred Sears,"Hugh Marlowe, Joan Taylor, Donald Curtis, Morris Ankrum",United States,"
"
Fire Maidens from Outer Space,Cy Roth,"Anthony Dexter, Susan Shaw",United Kingdom,"[nb 14]
"
Forbidden Planet,Fred Wilcox,"Walter Pidgeon, Anne Francis, Leslie Nielsen",United States,"
"
The Gamma People,John Gilling,"Paul Douglas, Eva Bartok, Leslie Phillips",United Kingdom,"
"
"Godzilla, King of the Monsters!","Terrell O. Morse, Ishirō Honda","Raymond Burr, Takashi Shimura, Akira Takarada, Kenji Sahara, Momoko Kochi",United StatesJapan,"
"
Indestructible Man,Jack Pollexfen,"Lon Chaney, Jr., Max Showalter, Marian Carr",United States,"
"
Invasion of the Body Snatchers,Don Siegel,"Kevin McCarthy, Dana Wynter, King Donovan",United States,"
"
It Conquered the World,Roger Corman,"Peter Graves, Beverly Garland, Lee Van Cleef",United States,"
"
The Man Who Turned to Stone,László Kardos,"Victor Jory, William Hudson",United States,"-
"
The Mole People,Virgil Vogel,"John Agar, Cynthia Patrick, Hugh Beaumont, Nestor Paiva",United States,"
"
On the Threshold of Space,Robert D. Webb,"Guy Madison, Virginia Leith, John Hodiak",United States,"Techno-drama[17][18][19]
"
Sora no Daikaijū Radon (USA title: Rodan),Ishirō Honda,"Kenji Sahara. Yumi Shirakawa, Yoshifumi Tajima",Japan,"[nb 15]
"
Toward the Unknown,Mervyn LeRoy,"William Holden, Lloyd Nolan, Virginia Leith",United States,"Techno-drama[20]
"
Uchūjin Tokyo ni Arawaru (Warning From Space),Koji Shima,"Keizo Kawasaki, Toyomi Karita, Bin Yagasawa",Japan,"[nb 16]
"
World Without End,Edward Bernds,"Hugh Marlowe, Nancy Gates, Rod Taylor",United States,"
"
X the Unknown,Leslie Norman,"Dean Jagger, Edward Chapman, Leo McKern",United StatesUnited Kingdom,"
"
Supersonic Saucer,Guy Fergusson,"Marcia Manolescue,Gillian Harrison,Fella Edmonds",United Kingdom,"
"
20 Million Miles to Earth,Nathan H. Juran,"William Hopper, Joan Taylor, Frank Puglia, John Zaremba",United States,"
"
The 27th Day,William Asher,"Gene Barry, Valerie French, George Voskovec",United States,"
"
She Devil,Kurt Neumann,"Albert Dekker, Jack Kelly, Mari Blanchard",United States,"
"
The Amazing Colossal Man,Bert I. Gordon,"Glenn Langan, Cathy Downs, William Hudson",United States,"
"
The Astounding She-Monster,Ronnie Ashcroft,"Jeanne Tatum, Ewing Brown, Robert Clarke",United States,"
"
Attack of the Crab Monsters,Roger Corman,"Richard Garland, Pamela Duncan, Russell Johnson",United States,"
"
Beginning of the End,Bert I. Gordon,"Peter Graves, Peggie Castle, Morris Ankrum",United States,"
"
The Black Scorpion,Edward Ludwig,"Richard Denning, Mara Corday, Carlos Rivas",United States,"
"
The Brain from Planet Arous,Nathan H. Juran,"John Agar, Joyce Meadows, Robert Fuller",United States,"[14]
"
The Cyclops,Bert I. Gordon,"James Craig, Gloria Talbott, Lon Chaney, Jr.",United States,"
"
The Deadly Mantis,Nathan H. Juran,"Craig Stevens, William Hopper, Alix Talton",United States,"
"
From Hell It Came,Dan Milner,"Tod Andrews, Tina Carver, Linda Watkins",United States,"
"
The Giant Claw,Fred Sears,"Jeff Morrow, Mara Corday, Morris Ankrum",United States,"
"
The Incredible Shrinking Man,Jack Arnold,"Grant Williams, Randy Stuart, April Kent",United States,"[nb 17]
"
Invasion of the Saucer Men,Edward L. Cahn,"Steve Terrell, Gloria Castillo, Frank Gorshin, Lyn Osborne",United States,"
"
The Invisible Boy,Herman Hoffman,"Richard Eyer, Philip Abbott, Diane Brewster",United States,"
"
Kronos,Kurt Neumann,"Jeff Morrow, Barbara Lawrence, John Emery, George O'Hanlon",United States,"
"
The Land Unknown,Virgil Vogel,"Jock Mahoney, Shawn Smith, William Reynolds",United States,"
"
The Monolith Monsters,John Sherwood,"Grant Williams, Lola Albright, Les Tremayne",United States,"
"
The Monster That Challenged the World,Arnold Laven,"Tim Holt, Audrey Dalton, Hans Conried",United States,"
"
The Mysterians,Ishirō Honda,"Kenji Sahara, Yumi Shirakawa, Momoko Kochi",Japan,"
"
The Night the World Exploded,Fred Sears,"Kathryn Grant, William Leslie, Tristram Coffin",United States,"
"
Not of This Earth,Roger Corman,"Paul Birch, Beverly Garland, Morgan Jones",United States,"
"
Quatermass 2,Val Guest,"Brian Donlevy, John Longden, Sid James",United Kingdom,"[nb 18]
"
The Secret of Two Oceans,Konstantin Pipinashvili,"Igor Vladimirov, Sergej Golovanov, Sergej Stoljarov",Soviet Union,"[21]
"
The Strange World of Planet X (UK) a.k.a. Cosmic Monsters (USA),Gilbert Gunn,"Forrest Tucker, Gaby Andre, Martin Benson",United Kingdom,"[nb 19]
"
The Unearthly,Brooke Peters,"John Carradine, Myron Healey, Allison Hayes",United States,"
"
The Unknown Terror,Charles Marquis Warren,"John Howard, Mala Powers, Paul E. Richards, May Wynn",United States,"
"
The Vampire,Paul Landres,"John Beal, Colleen Gray, Kenneth Tobey",United States,"
"
The Robot vs. The Aztec Mummy,Rafael Portillo,"Ramon Gay, Rosita Arenas, Luis Aceves Castaneda",Mexico,"
"
