movie_name,director,cast_name,country_name,subgenre_name
12 to the Moon,David Bradley,"Ken Clark, Michi Kobi, Tom Conway",United States,"[1][2]
"
The Amazing Transparent Man,Edgar G. Ulmer,"Marguerite Chapman, Douglas Kennedy, James Griffith",United States,"
"
Atom Age Vampire,Anton Giulio Majano,"Alberto Lupo, Susanne Loret, Sergio Fantoni",Italy,"
"
Atomic War Bride,Veljko Bulajić,"Antun Vrdoljak, Zlatko Madunić, Ljubiša Jovanović",Yugoslavia,"[3]
"
Beyond the Time Barrier,Edgar G. Ulmer,"Robert Clarke, Darlene Tompkins, Arianne Ulmer",United States,"[4][5]
"
The Cape Canaveral Monsters,Phil Tucker,"Scott Peters, Linda Connell, Jason Johnson, Katherine Victor",United States,"
"
Dinosaurus!,Irvin Yeaworth,"Ward Ramsey, Paul Lukather, Kristina Hanson",United States,"
"
Horrors of Spider Island (a.k.a. Ein Toter hing im Netz),Fritz Böttger,"Harald Maresch, Helga Franck, Alexander D'Arcy",West Germany,"
"
The Human Vapor,Ishirō Honda,"Tatsuya Mihashi, Kaoru Yachigusa, Yoshio Tsuchiya",Japan,"
"
Last Woman on Earth,Roger Corman,"Betsy Jones-Moreland, Anthony Carbone, Robert Towne",United States,"
"
The Lost World,Irwin Allen,"Michael Rennie, Jill St. John, David Hedison",United States,"Adventure
"
Man in the Moon,Basil Dearden,"Kenneth More, Shirley Anne Field, Michael Hordern",United Kingdom,"[6]
"
Mistress of the World,William Dieterle,"Martha Hyer, Micheline Presle, Carlos Thompson",West GermanyFranceItaly,"
"
The Incredible Petrified World,Jerry Warren,"John Carradine, Phyllis Coates, Robert Clarke",United States,"
"
The Secret of the Telegian,Jun Fukuda,"Kōji Tsuruta, Akihiko Hirata, Yoshio Tsuchiya",Japan,"
"
The Silent Star (USA title: First Spaceship on Venus),Kurt Maetzig,"Yoko Tani, Oldřich Lukeš, Ignacy Machowski",East GermanyPoland,"
"
Space Men (USA title: Assignment Outer Space),Antonio Margheriti,"Rik Van Nutter, Gabriella Farinon, David Montresor",Italy,"
"
The Time Machine,George Pal,"Rod Taylor, Alan Young, Yvette Mimieux",United Kingdom,"[nb 1]
"
 Village of the Damned,Wolf Rilla,"George Sanders, Barbara Shelley",United KingdomUnited States,"
"
Visit to a Small Planet,Norman Taurog,"Jerry Lewis, Joan Blackman, Earl Holliman",United States,"
"
"Atlantis, the Lost Continent",George Pal,"Sal Ponti, Joyce Taylor, John Dall",United States,"
"
The Absent-Minded Professor,Robert Stevenson,"Fred MacMurray, Nancy Olson",United States,"
"
Battle of the Worlds,Antonio Margheriti,"Claude Rains, Bill Carter, Umberto Orsini",Italy,"
"
The Beast of Yucca Flats,Coleman Francis,"Douglas Mellor, Barbara Francis, Bing Stafford",United States,"
"
A Bomb Was Stolen,Ion Popescu-Gopo,"Iurie Darie, Liliana Tomescu, Haralambie Boroș",Romania,"
"
The Day the Earth Caught Fire,Val Guest,"Edward Judd, Janet Munro, Leo McKern",United Kingdom,"[nb 2]
"
Doctor Blood's Coffin,Sidney J. Furie,"Kieron Moore, Hazel Court, Ian Hunter",United Kingdom,"
"
The Flight that Disappeared,Reginald Le Borg,"Craig Hill, Paula Raymond",United States,"
"
Gorgo,Eugène Lourié,"Bill Travers, William Sylvester, Vincent Winter",United Kingdom,"
"
Invasion of the Neptune Men,Koji Ota,"Sonny Chiba, Ryûko Minakami, Mitsue Komiya",Japan,"
"
The Last War,Shūe Matsubayashi,"Frankie Sakai, Akira Takarada, Yuriko Hoshi",Japan,"
"
The Man with the Lens,Frank Vogel,"Rolf Ludwig, Christine Laszar, Helga Labudda",East Germany,"Comedy. German title: Der Mann mit dem Objektiv[7][8][9][10][11][12]
"
Master of the World,William Witney,"Vincent Price, Charles Bronson, Henry Hull",United States,"
"
The Most Dangerous Man Alive,Allan Dwan,"Ron Randell, Debra Paget, Morris Ankrum",United States,"
"
Mothra,Ishirō Honda,"Frankie Sakai, Hiroshi Koizumi, Kyōko Kagawa",Japan,"
"
Mysterious Island,Cy Endfield,"Michael Craig, Joan Greenwood, Michael Callan",United Kingdom,"
"
The Phantom Planet,William Marshall,"Dean Fredericks, Coleen Gray, Anthony Dexter",United States,"
"
The Trip to Cosmatom,"Manfred Gussmann, Janusz Star",,East GermanyPoland,"Popular science film. German title: Die Reise nach Kosmatom[13][14][15][16]
"
Voyage to the Bottom of the Sea,Irwin Allen,"Walter Pidgeon, Joan Fontaine, Barbara Eden",United States,"
"
Nude On The Moon,"Raymond Phelan, Doris Wishman","Marietta,William Mayer,Lester Brown",United States,"
"
The Amphibian Man,Gennadiy Kazansky,"Vladimir Korenev, Anastasiya Vertinskaya, Mikhail Kozakov",Soviet Union,"
"
The Brain That Wouldn't Die,Joseph Green,"Jason Evers, Virginia Leith, Leslie Daniel",United States,"filmed in 1959[17]
"
Creation of the Humanoids,Wesley Barry,"Don Megowan, Erica Elliott, Dudley Manlove",United States,"
"
The Day of the Triffids,Steve Sekely,"Howard Keel, Kieron Moore, Janette Scott",United Kingdom,"
"
A Flying Proletarian,"Iosif Boyarskiy, Ivan Ivanov-Vano",Boris Popov (voice),Soviet Union,"Cutout animation short film. Russian title: Летающий пролетарий, tr. Letayushchiy proletariy[18]
"
Gorath,Ishirō Honda,"Ryō Ikebe, Yumi Shirakawa, Takashi Shimura",Japan,"
"
Invasion of the Star Creatures,Bruno VeSota,"Bob Ball, Frankie Ray, Gloria Victor, Dolores Reed",United States,"
"
La jetée,Chris Marker,"Jean Négroni, Etienne Becker",France,"
"
Journey to the 7th Planet,Sidney Pink,"John Agar, Greta Thyssen, Ann Smyrner",DenmarkUnited States,"
"
King Kong vs. Godzilla,"Ishirō Honda, Thomas Montgomery","Michael Keith, James Yagi, Tadao Takashima",JapanUnited States,"
"
Man in Outer Space,Oldřich Lipský,"Miloš Kopecký, Radovan Lukavský, Lubomír Lipský",Czechoslovakia,"
"
The Manster,"George Breakston, Kenneth G. Crane","Peter Dyneley, Jane Hylton, Satoshi Nakamura, Terri Zimmern",JapanUnited States,"filmed in 1959[19][20][21]
"
Moon Pilot,James Neilson,"Tom Tryon, Dany Saval",United States,"[22]
"
