movie_name,director,cast_name,country_name,subgenre_name
Destination Moon,Irving Pichel,"Warner Anderson, John Archer, Tom Powers",United States,"[nb 1]
"
Flying Disc Man from Mars,Fred C. Brannon,"Kent Fowler, Gregory Gaye",United States,"Serial film
"
The Flying Saucer,Mikel Conrad,"Mikel Conrad, Pat Garrison, Hanz von Teuffen",United States,"
"
The Invisible Monster,Fred C. Brannon,"Stanley Price, Richard Webb, Aline Towne, Lane Bradford",United States,"Serial film
"
Prehistoric Women,Gregg G. Tallas,"Laurette Luez, Allan Nixon, Joan Shawlee",United States,"
"
Rocketship X-M,Kurt Neumann,"Lloyd Bridges, Osa Massen, John Emery",United States,"
"
Abbott and Costello Meet the Invisible Man,Charles Lamont,"Bud Abbott, Lou Costello, Nancy Guild",United States,"
"
Captain Video: Master of the Stratosphere,"Spencer Gordon Bennet, Wallace Grissell","Judd Holdren, Gene Roth",United States,"Serial film
"
The Day the Earth Stood Still,Robert Wise,"Michael Rennie, Patricia Neal, Hugh Marlowe, Sam Jaffe",United States,"[nb 2]
"
Five,Arch Oboler,"William Phipps, Susan Douglas, James Anderson",United States,"
"
Flight to Mars,Lesley Selander,"Marguerite Chapman, Cameron Mitchell, Arthur Franz",United States,"
"
I'll Never Forget You,Roy Ward Baker,"Tyrone Power, Ann Blyth, Michael Rennie",United Kingdom,"
"
Lost Continent,Sam Newfield,"Cesar Romero, Hillary Brooke, Chick Chandler",United States,"
"
Lost Planet Airmen,Fred C. Brannon,"Tristram Coffin, Mae Clarke, I. Stanford Jolley",United States,"[nb 3]
"
The Man from Planet X,Edgar G. Ulmer,"Robert Clarke, Margaret Field, Raymond Bond",United States,"
"
The Man in the White Suit,Alexander Mackendrick,"Alec Guinness, Joan Greenwood, Cecil Parker, Michael Gough, Ernest Thesiger",United Kingdom,"
"
Mysterious Island,Spencer Gordon Bennet,"Richard Crane, Marshall Reed, Karen Randle, Ralph Hodges",United States,"Serial film
"
Superman and the Mole Men,Lee Sholem,"George Reeves, Phyllis Coates, Jeff Corey",United States,"
"
The Thing from Another World,Christian Nyby,"Margaret Sheridan, Kenneth Tobey, Robert Cornthwaite",United States,"
"
Two Lost Worlds,"Norman Dawn, Norman Kennedy","James Arness, Laura Elliott",United States,"
"
Unknown World,Terrell O. Morse,"Bruce Kellogg, Marilyn Nash, Jim Bannon, Otto Waldis",United States,"
"
When Worlds Collide,Rudolph Maté,"Richard Derr, Barbara Rush, Peter Hansen, John Hoyt",United States,"
"
Alraune,Arthur Maria Rabenalt,"Hildegard Knef, Erich von Stroheim",West Germany,"
"
"April 1, 2000",Wolfgang Liebeneiner,"Hilde Krahl, Joseph Meinrad, Curd Jürgens",Austria,"[nb 4]
"
Captive Women,Stuart Gilmore,"Robert Clarke, Margaret Field, Gloria Saunders",United States,"[nb 5]
"
Invasion USA,Alfred E Green,,United States,"
"
The Jungle,William A. Berke,"Rod Cameron, Cesar Romero, Marie Windsor",United States,"[2]
"
Radar Men from the Moon,Fred C. Brannon,"George D. Wallace, Aline Towne, Roy Barcroft",United States,"Serial film
"
Red Planet Mars,Harry Horner,"Peter Graves, Andrea King, Orley Lindgren",United States,"
"
Untamed Women,"Merle W. Connell, James R. Connell","Mikel Conrad, Doris Merrick, Richard Monahan",United States,"
"
Zombies of the Stratosphere,Fred C. Brannon,Judd Holdren,United States,"Serial film
"
Abbott and Costello Go to Mars,Charles Lamont,"Bud Abbott, Lou Costello, Mari Blanchard",United States,"
"
