movie_name,director,cast_name,country_name,subgenre_name
Algol,Hans Werckmeister,"Emil Jannings, John Gottowt, Hans Adalbert Schlettow",Germany,"
"
Dr. Jekyll and Mr. Hyde,J. Charles Haydon,Sheldon Lewis,United States,"
"
Dr. Jekyll and Mr. Hyde,John S. Robertson,"John Barrymore, Martha Mansfield, Charles Willis Lane, Nita Naldi",United States,"
"
Figures of the Night,Richard Oswald,"Paul Wegener, Reinhold Schünzel, Conrad Veidt",Germany,"
"
The Invisible Ray,Harry A. Pollard,"Ruth Clifford, Jack Sherrill, Sidney Bracey",United States,"Serial film
"
Die Blitzzentrale,Valy Arnheim,"Valy Arnheim, Victor Colani",Germany,"
"
The Mechanical Man,Andre Deed,"Gabriel Moreau, Valentina Frascaroli, Fernando Vivas-May",Italy,"
"
The Man from Beyond,Burton L. King,"Harry Houdini, Arthur Maude, Albert Tavernier, Erwin Connelly",United States,"[1]
"
Black Oxen,Frank Lloyd,"Corinne Griffith, Conway Tearle, Clara Bow",United States,"
"
Aelita,Yakov Protazanov,"Yuliya Solntseva, Igor Ilyinsky, Nikolai Tsereteli",Soviet Union,"
"
The Hands of Orlac,Robert Wiene,"Conrad Veidt, Alexandra Sorina, Fritz Kortner, Carmen Cartellieri",Austria,"
"
Interplanetary Revolution,"Nikolay Khodatayev, Zenon Komissarenko, Yuriy Merkulov",,Soviet Union,"Animated short film. Russian title: Межпланетная революция, tr. Mezhplanetnaya revolyutsiya[2][3][4][5][6]
"
L'Inhumaine,Marcel L'Herbier,"Georgette Leblanc, Jaque Catelain, Philippe Hériat",France,"
"
The Last Man on Earth,John G. Blystone,"Buck Black, Maurice Murphy, William Steele",United States,"
"
The Lost World,Harry Hoyt,"Bessie Love, Lewis Stone, Wallace Beery, Lloyd Hughes, Alma Bennett",United States,"
"
Luch Smerti,Lev Kuleshov,"Porfiri Podobed, Vsevolod Pudovkin, Aleksandra Khokhlova",Soviet Union,"[7][8]
"
Paris Qui Dort,René Clair,"Madeleine Rodrigue, Myla Seller, Henri Rollan",France,"Sci-Fi Comedy
"
The Power God,"Francis Ford, Ben F. Wilson","Ben F. Wilson, Neva Gerber, Mary Crane",United States,"Serial film[9][10]
"
Wunder Der Schöpfung,Hanns Walter Kornblum,"Paul Bildt, Willy Kaiser-Heyl, Theodor Loos, Oscar Marion",Germany,"[11]
"
Metropolis,Fritz Lang,"Alfred Abel, Gustav Froehlich, Rudolf Klein-Rogge, Theodor Loos",Germany,"
"
Alraune,Henrik Galeen,Brigitte Helm,Germany,"
"
High Treason,Maurice Elvey,"Benita Hume, Basil Gill, Jameson Thomas, Milton Rosmer",United Kingdom,"[12]
"
The Mysterious Island,Lucien Hubbard,"Lionel Barrymore, Jane Daly, Lloyd Hughes",United States,"
"
Woman in the Moon,Fritz Lang,"Klaus Pohl, Willy Fritsch, Gerda Maurus, Fritz Rasp",Germany,"
"
