movie_name,director,cast_name,country_name,subgenre_name
Beneath the Planet of the Apes,Ted Post,"James Franciscus, Kim Hunter, Maurice Evans",United States,"
"
Colossus: The Forbin Project,Joseph Sargent,"Eric Braeden, Susan Clark, Gordon Pinsent",United States,"Thriller[nb 1]
"
Crimes of the Future,David Cronenberg,"Ronald Mlodzik, Jon Lidolt, Tania Zolty",Canada,"
"
Gamera vs. Jiger,Noriaki Yuasa,"Tsutomu Takakuwa, Kelly Varis, Katherine Murphy",Japan,"Kaiju
"
Gas-s-s-s,Roger Corman,"Robert Corff, Elaine Giftos, Bud Cort",United States,"Post-apocalyptic black comedy
"
"I Killed Einstein, Gentlemen",Oldřich Lipský,"Jiří Sovák, Jana Brejchová, Lubomír Lipský",Czechoslovakia,"Comedy
"
The Mind of Mr. Soames,Alan Cooke,"Terence Stamp, Robert Vaughn, Nigel Davenport",United KingdomUnited States,"Drama
"
No Blade of Grass,Cornel Wilde,"Nigel Davenport, Jean Wallace, John Hamill",United KingdomUnited States,"Apocalyptic
"
On the Comet,Karel Zeman,"Emil Horváth, Magda Vášáryová, František Filipovský",Czechoslovakia,"
"
Scream and Scream Again,Gordon Hessler,"Vincent Price, Christopher Lee, Peter Cushing",United Kingdom,"Horror, conspiracy thriller
"
Signals – A Space Adventure,Gottfried Kolditz,"Piotr Pawłowski, Yevgeniy Zharikov, Gojko Mitić",East GermanyPoland,"German title: Signale – Ein Weltraumabenteuer. Polish title: Sygnały MMXX[2][3][4][5][6][7][8][9][10]
"
Skullduggery,Gordon Douglas,"Burt Reynolds, Susan Clark, Roger C. Carmel",United States,"Adventure
"
Space Amoeba (Yog - Monster From Space),Ishirō Honda,"Akira Kubo, Atsuko Takahashi, Yukiko Kobayashi",Japan,"Kaiju
"
Toomorrow,Val Guest,"Olivia Newton-John, Benny Thomas, Vic Cooper",United Kingdom,"Musical
"
When Dinosaurs Ruled the Earth,Val Guest,"Victoria Vetri, Robin Hawdon, Patrick Allen",United KingdomUnited States,"Prehistoric dinosaur film
"
The Andromeda Strain,Robert Wise,"James Olson, Arthur Hill, David Wayne",United States,"Thriller
"
A Clockwork Orange,Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates",United KingdomUnited States,"Dystopian, crime
"
Escape from the Planet of the Apes,Don Taylor,"Roddy McDowall, Kim Hunter, Bradford Dillman",United States,"
"
Gamera vs. Zigra,Noriaki Yuasa,"Koji Fujiyama, Daigo Inoue, Reiko Kasahara",Japan,"Kaiju
"
Glen and Randa,Jim McBride,"Steven Curry, Shelley Plimpton, Woody Chambliss",United States,"Post-apocalyptic
"
